Timestamp,Action,Index,Index_Name,Strategy_Type,Broker_Lot_Size,Total_Lots_Deployed,Total_Quantity,Margin_Blocked,Spot_Price,Sell_CE_Strike,Sell_PE_Strike,Sell_CE,Sell_PE,Buy_CE,Buy_PE,Net_Premium,PnL,Exit_Reason,Notes
2026-05-20 15:06:24,ENTRY,SENSEX,SENSEX,,20,,,,75269.45,75600.0,75000.0,177.7,189.75,9.7,9.25,348.5,0.0,,Local Paper Trade (Simulated)
2026-05-21 09:19:04,EXIT,SENSEX,SENSEX,,20,,,,75682.35,75600.0,75000.0,273.95,41.3,8.1,2.05,305.1,868.0,SNIPER_TARGET,Local Paper Trade Closed
2026-05-21 09:19:16,ENTRY,SENSEX,SENSEX,,20,,,,75663.23,75800.0,,179.45,0,224.3,0,-44.85,0.0,,BTST_BULL_CALL_DEBIT Paper Trade (Simulated)
2026-05-21 09:58:47,EXIT,SENSEX,SENSEX,,20,,,,75626.0,75800.0,,114.45,0,151.0,0,-36.55,-664.0,MANUAL_EXIT,BTST_BULL_CALL_DEBIT Paper Trade Closed
2026-05-21 09:58:50,ENTRY,SENSEX,SENSEX,,20,,,,75622.57,75900.0,75300.0,86.55,90.65,4.5,4.65,168.05,0.0,,Local Paper Trade (Simulated)
2026-05-21 09:59:27,EXIT,SENSEX,SENSEX,,20,,,,75567.73,75900.0,75300.0,86.25,95.15,4.45,4.65,172.3,-85.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-21 10:00:29,ENTRY,SENSEX,SENSEX,,20,,,,75586.28,75900.0,75300.0,80.65,99.9,4.3,5.35,170.9,0.0,,Local Paper Trade (Simulated)
2026-05-21 10:00:31,EXIT,SENSEX,SENSEX,,20,,,,75559.64,75900.0,75300.0,80.5,98.95,4.3,5.3,169.85,21.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-21 10:01:34,ENTRY,SENSEX,SENSEX,,20,,,,75602.73,75900.0,75300.0,85.65,82.8,4.4,4.3,159.75,0.0,,Local Paper Trade (Simulated)
2026-05-21 10:01:59,EXIT,SENSEX,SENSEX,,20,,,,75626.09,75900.0,75300.0,91.7,72.85,4.55,4.1,155.9,77.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-21 10:02:58,ENTRY,SENSEX,SENSEX,,20,,,,75643.01,75900.0,75300.0,91.15,71.65,4.55,3.65,154.6,0.0,,Local Paper Trade (Simulated)
2026-05-21 10:29:41,EXIT,SENSEX,SENSEX,,20,,,,75614.68,75900.0,75300.0,78.8,60.5,4.4,3.5,131.4,464.0,SNIPER_TARGET,Local Paper Trade Closed
2026-05-21 10:30:44,ENTRY,SENSEX,SENSEX,,20,,,,75582.37,75900.0,75300.0,72.75,65.85,3.65,3.15,131.8,0.0,,Local Paper Trade (Simulated)
2026-05-21 10:32:20,EXIT,SENSEX,SENSEX,,20,,,,75647.35,75900.0,75300.0,73.35,65.35,3.7,3.25,131.75,1.0,GRACEFUL_STOP,Local Paper Trade Closed
2026-05-21 10:32:53,ENTRY,SENSEX,SENSEX,,20,,,,75622.36,75900.0,75300.0,68.9,70.25,3.5,3.7,131.95,0.0,,Local Paper Trade (Simulated)
2026-05-21 11:15:50,EXIT,SENSEX,SENSEX,,20,,,,75330.91,75900.0,75300.0,33.0,156.75,3.5,3.8,182.45,-1010.0,MANUAL_EXIT,Local Paper Trade Closed
